PART#,Age (yy),Rec_mod,Gender,Digit span,C_01,C_02,C_03,C_04,C_05,C_06,C_07,C_08,C_09,A_01,A_02,A_03,A_04,A_05,A_06,A_07,A_08,A_09,B_01,B_02,B_03,B_04,B_05,B_06,B_07,B_08,B_09,P_01,P_02,P_03,P_04,P_05,P_06,P_07,P_08,P_09
1,22,wgrid,F,6,14,12,10,9,10,5,1,7,14,14,14,14,8,14,13,6,10,15,13,12,13,11,11,13,7,10,14,15,11,7,5,5,3,2,5,15
2,33,wgrid,M,6,14,8,5,8,10,2,2,2,14,15,11,13,10,9,9,8,5,15,14,14,13,11,12,14,7,8,13,15,12,6,7,2,4,0,0,14
3,21,wgrid,F,6,15,9,6,5,7,4,3,1,14,14,14,14,8,7,9,4,6,15,14,13,10,5,1,3,1,6,15,14,13,9,10,8,4,4,7,15
4,21,wgrid,F,9,15,14,15,12,12,13,9,11,14,14,15,15,14,15,14,13,14,15,15,14,15,15,15,15,12,11,15,13,14,15,14,15,15,15,15,15
5,21,wgrid,F,8,15,13,12,7,8,8,4,6,14,13,15,15,11,14,15,11,13,15,13,14,15,13,12,13,9,10,14,14,15,15,11,11,15,11,14,15
6,22,wgrid,F,6,15,13,13,10,9,9,6,9,14,15,15,13,11,11,13,12,13,15,15,15,12,9,8,12,10,10,15,15,13,11,7,7,10,10,10,14
7,21,wgrid,F,5,14,11,4,3,3,1,4,5,13,10,11,12,5,4,7,4,10,12,14,10,9,6,3,6,4,7,15,14,12,10,6,2,1,2,8,14
8,22,wgrid,F,7,14,13,13,11,11,11,9,13,13,12,13,15,13,13,13,14,12,15,14,14,15,9,12,14,13,12,14,14,15,14,12,14,15,9,10,14
9,21,wgrid,M,8,13,13,12,12,6,9,5,6,13,14,12,15,11,13,14,11,10,15,15,13,15,11,13,14,8,9,15,13,13,14,11,8,15,8,10,15
10,21,wgrid,F,6,10,10,6,4,3,2,0,4,6,11,14,14,8,9,13,7,8,13,15,13,12,9,7,8,6,6,13,14,12,13,9,7,12,10,7,11
11,21,wgrid,F,6,15,15,13,8,5,4,5,2,7,14,15,15,12,14,15,9,7,15,15,14,15,9,11,14,9,6,14,15,15,15,14,13,15,11,9,13
12,21,wgrid,F,5,15,12,11,12,12,12,8,10,14,15,13,14,13,14,14,10,12,15,15,14,15,9,10,13,10,9,14,14,15,14,13,13,14,13,12,15
13,22,wgrid,F,7,14,15,11,10,11,8,8,9,14,13,13,13,8,7,12,8,5,14,15,13,14,10,10,13,9,7,14,15,14,11,8,9,10,8,8,14
14,23,wgrid,F,6,14,8,6,3,3,3,3,3,10,15,13,14,7,6,11,5,6,14,10,8,11,2,4,2,3,11,15,13,8,10,5,1,3,2,4,13
15,22,wgrid,F,6,10,8,8,4,4,10,5,6,13,14,9,15,8,9,15,7,8,15,11,9,15,7,8,15,5,6,14,12,9,13,6,5,13,6,5,14
16,21,wgrid,F,6,14,13,13,10,7,12,6,8,11,13,15,14,10,9,13,9,8,15,12,12,13,6,6,15,3,3,14,14,13,14,8,9,10,5,6,11
17,22,wgrid,F,7,14,13,9,6,9,9,5,4,13,14,12,7,1,4,4,5,5,14,13,10,10,6,4,5,4,8,10,15,14,12,9,10,8,6,3,12
18,23,wgrid,F,8,13,11,9,11,9,4,6,9,14,14,14,13,12,13,12,9,11,15,15,13,15,12,15,14,10,13,15,14,13,14,7,13,15,8,12,15
19,21,wgrid,F,6,15,10,7,4,4,2,0,6,13,12,9,14,9,10,14,4,4,13,14,11,14,5,10,13,6,7,15,12,13,14,9,11,14,6,4,14
20,28,wgrid,M,6,14,9,7,4,5,2,5,3,12,11,12,14,6,8,10,7,8,13,11,10,10,5,4,8,3,5,12,14,12,14,10,6,10,5,6,13
21,22,wgrid,F,7,15,14,13,13,12,10,3,5,14,14,12,12,13,11,12,7,11,14,15,14,11,10,9,9,4,10,13,15,12,13,12,13,13,8,9,15
22,21,wgrid,M,6,10,8,9,6,5,5,5,4,10,11,9,11,7,5,6,9,9,13,13,11,12,9,6,7,7,5,13,11,8,11,4,4,7,5,6,11
23,22,wgrid,F,6,15,13,11,9,10,2,4,6,13,13,14,15,10,12,13,6,10,15,13,13,14,7,8,13,6,9,15,15,13,13,12,9,6,6,11,15
24,22,wgrid,F,7,14,9,5,4,1,5,3,4,14,13,12,14,11,8,13,10,12,14,13,15,13,9,9,12,12,13,15,15,13,15,13,12,12,13,13,15
