PART#,Age (yy),Rec_mod,Gender,Digit span,C_01,C_02,C_03,C_04,C_05,C_06,C_07,C_08,C_09,A_01,A_02,A_03,A_04,A_05,A_06,A_07,A_08,A_09,B_01,B_02,B_03,B_04,B_05,B_06,B_07,B_08,B_09,P_01,P_02,P_03,P_04,P_05,P_06,P_07,P_08,P_09
1,22,wkeyb,F,7,14,14,13,9,10,11,2,6,10,12,13,14,11,14,14,6,7,15,12,11,15,10,12,14,6,8,15,13,15,14,13,12,15,11,9,15
2,22,wkeyb,F,7,14,15,10,7,7,4,5,13,13,15,15,15,12,14,14,12,14,15,14,14,15,14,14,15,13,12,14,15,14,15,15,14,15,14,14,15
3,22,wkeyb,M,6,14,14,12,9,7,12,6,8,11,14,14,12,9,9,12,4,7,14,14,13,14,11,9,14,8,10,15,14,12,11,10,9,13,7,8,13
4,22,wkeyb,F,7,13,13,14,13,12,12,7,8,9,15,15,15,15,15,15,15,15,15,13,12,14,9,12,14,12,12,13,14,12,14,13,11,14,11,9,14
5,24,wkeyb,F,6,15,14,13,11,12,10,8,6,10,14,14,15,12,13,14,13,13,15,13,13,14,13,10,12,9,10,13,15,15,15,13,13,14,13,14,15
6,21,wkeyb,M,8,14,11,11,8,5,4,3,4,5,15,15,15,15,15,15,14,15,14,14,14,15,11,12,15,6,8,12,15,15,15,14,13,14,12,13,14
7,21,wkeyb,F,6,14,13,13,3,2,2,1,0,2,13,13,15,11,10,11,9,10,13,15,14,15,13,11,12,10,10,11,15,14,13,3,3,1,1,1,3
8,21,wkeyb,F,8,15,11,11,10,8,9,7,7,11,15,14,14,14,14,14,13,13,14,15,15,15,15,15,15,15,14,15,15,14,14,12,13,14,13,12,13
9,23,wkeyb,F,6,15,15,12,7,3,4,3,1,7,14,13,14,10,8,13,13,10,12,14,14,15,13,12,15,11,10,15,13,13,15,13,11,13,12,13,15
10,22,wkeyb,F,6,8,9,8,8,7,4,6,9,14,12,12,10,6,4,6,4,4,6,12,8,7,4,5,5,6,7,13,7,6,11,5,6,8,10,10,15
11,22,wkeyb,F,6,12,9,5,4,6,4,4,5,11,10,9,13,10,10,11,10,13,13,11,9,14,5,10,11,7,9,14,14,13,13,12,12,10,10,13,14
12,21,wkeyb,M,6,15,12,11,9,6,1,1,2,6,14,15,13,7,6,10,3,10,14,15,9,9,6,10,11,4,9,15,14,12,12,10,7,9,2,9,12
13,21,wkeyb,F,6,13,11,9,8,6,2,1,2,4,14,15,15,14,14,14,12,12,14,15,15,15,12,11,15,10,9,15,15,14,14,12,12,11,13,12,14
14,22,wkeyb,M,7,13,13,14,11,10,11,10,12,12,11,12,12,9,10,12,11,11,14,15,13,15,9,8,12,7,7,12,12,12,13,9,6,13,9,7,13
15,21,wkeyb,F,7,14,14,14,9,8,5,5,5,8,14,13,15,13,14,14,13,13,14,15,14,14,13,14,15,13,14,14,15,13,14,12,11,13,10,9,11
16,22,wkeyb,F,8,15,14,11,11,7,2,2,1,1,15,13,13,13,14,15,13,15,15,14,15,15,12,13,15,12,13,15,15,10,9,6,4,3,0,1,2
17,21,wkeyb,F,5,14,12,12,10,2,0,2,0,2,13,9,9,7,6,7,6,4,6,9,10,9,3,5,10,4,10,14,14,12,12,9,7,8,8,6,12
18,21,wkeyb,F,6,13,10,6,4,7,1,0,1,0,14,14,15,11,13,15,11,12,13,14,14,15,11,13,13,10,11,13,14,14,14,9,11,10,9,9,14
19,21,wkeyb,F,7,12,11,9,7,4,3,3,4,10,14,13,15,10,8,9,11,13,14,13,12,13,9,9,10,12,11,13,13,12,13,11,11,13,13,13,15
20,28,wkeyb,F,6,9,10,7,5,3,1,1,7,11,9,9,11,11,12,12,10,8,14,10,8,10,8,8,12,11,11,13,11,7,6,4,4,5,6,6,5
21,21,wkeyb,M,5,9,9,9,3,5,7,4,6,12,12,13,15,12,13,14,12,11,12,15,14,15,12,11,14,12,11,14,15,14,14,9,8,12,12,11,10
22,21,wkeyb,F,7,14,14,15,11,9,9,2,2,6,15,15,14,13,13,13,12,12,14,14,15,14,11,11,12,2,3,8,15,15,15,13,13,15,8,8,12
23,21,wkeyb,F,7,15,13,12,11,8,7,2,4,10,15,15,15,13,13,15,12,13,14,15,14,15,11,9,12,9,10,13,15,14,14,13,10,11,7,9,15
24,22,wkeyb,F,6,15,15,15,7,8,6,2,1,5,12,11,7,5,2,2,1,0,3,14,13,11,5,4,6,3,1,3,13,11,13,8,8,13,7,4,11
25,21,wkeyb,F,6,13,14,13,8,5,3,3,4,8,13,12,12,11,12,11,10,9,11,14,14,14,11,15,14,5,8,13,13,12,12,9,10,11,3,4,11
