PART#,Age (yy),Rec_mod,Gender,Digit span,C_01,C_02,C_03,C_04,C_05,C_06,C_07,C_08,C_09,A_01,A_02,A_03,A_04,A_05,A_06,A_07,A_08,A_09,B_01,B_02,B_03,B_04,B_05,B_06,B_07,B_08,B_09,P_01,P_02,P_03,P_04,P_05,P_06,P_07,P_08,P_09
1,21,oral,M,8,14,14,15,12,13,12,6,8,13,15,15,15,11,15,15,10,12,15,14,15,15,11,14,15,12,10,15,14,14,14,14,15,15,11,13,14
2,21,oral,F,6,12,9,6,4,4,0,0,0,1,14,12,12,9,7,9,5,2,4,14,13,15,12,9,11,6,3,6,12,12,12,9,5,7,3,5,3
3,21,oral,F,6,14,12,12,8,3,0,0,0,0,13,13,14,7,6,9,1,1,1,12,13,13,8,6,10,1,0,3,12,12,13,9,8,10,0,1,1
4,24,oral,F,6,11,9,10,4,6,4,3,2,3,12,12,14,2,6,10,0,3,9,14,13,15,7,8,11,3,2,10,11,9,12,7,5,7,3,4,7
5,22,oral,M,7,15,14,14,12,10,12,8,8,11,15,15,15,12,13,15,9,9,14,14,14,14,10,11,14,7,9,14,15,15,15,12,13,15,8,8,12
6,21,oral,F,6,15,14,12,10,9,6,5,2,4,14,13,12,12,11,8,5,5,10,14,11,12,10,9,12,7,4,9,13,11,9,6,8,7,2,3,10
7,21,oral,F,6,13,4,0,3,2,0,2,0,3,11,10,10,5,4,5,1,2,5,13,11,12,9,5,6,2,1,5,12,9,4,1,1,4,2,1,2
8,21,oral,F,7,14,13,11,10,8,2,2,1,2,15,15,15,14,14,15,7,11,15,15,15,15,9,10,14,7,9,12,14,9,9,6,6,6,4,3,3
9,21,oral,F,7,14,9,9,6,7,7,0,2,6,15,14,14,9,11,13,3,6,12,13,14,14,8,9,11,1,3,7,13,10,13,6,5,9,1,3,9
10,21,oral,F,7,14,10,9,6,5,4,2,1,0,14,13,11,9,7,10,4,4,5,13,13,13,11,11,13,4,3,6,15,13,13,13,12,11,3,2,7
11,20,oral,F,7,14,12,13,14,9,7,3,0,6,15,15,14,14,13,14,3,5,10,14,15,13,9,10,10,1,5,14,13,14,13,13,13,15,4,2,12
12,21,oral,F,8,14,15,14,11,12,11,9,8,12,14,15,15,13,14,15,11,13,15,15,15,15,13,13,14,13,13,15,13,12,13,10,10,9,5,6,9
13,25,oral,F,7,15,11,8,9,7,5,2,0,0,14,13,14,8,6,8,8,3,8,15,14,12,9,7,7,2,1,5,15,12,10,7,4,3,2,2,0
14,21,oral,F,7,14,13,12,7,9,9,5,6,10,13,14,15,9,11,15,6,9,13,12,14,15,8,12,14,6,7,14,14,14,15,7,9,14,4,4,15
15,21,oral,F,7,15,12,10,10,7,6,2,2,4,13,11,13,11,9,13,5,6,13,14,15,15,11,12,14,7,7,13,12,11,9,8,6,5,6,1,3
16,28,oral,F,7,13,11,6,5,2,4,0,0,0,12,13,15,10,12,14,6,10,13,12,11,13,8,6,12,4,4,12,15,15,15,10,12,14,5,7,13
17,21,oral,F,9,15,12,9,8,10,8,7,7,9,15,14,14,15,14,13,14,13,14,15,15,15,13,14,14,13,13,14,15,15,15,14,15,14,14,14,15
18,21,oral,F,7,14,14,13,13,13,11,5,9,12,12,13,15,13,13,12,7,7,13,14,14,14,13,11,14,9,9,14,13,14,14,11,14,14,9,13,15
19,21,oral,M,8,15,14,14,10,10,12,10,11,13,15,15,15,15,15,15,15,14,15,15,15,15,15,15,15,13,13,15,15,12,15,12,13,15,13,15,15
20,25,oral,F,6,13,12,11,11,10,9,2,0,0,13,14,12,11,13,14,3,3,7,13,12,14,12,13,14,5,5,10,10,7,9,6,4,5,0,0,0
21,22,oral,F,6,15,11,7,5,2,4,2,3,5,10,9,12,7,5,7,4,2,6,14,13,11,3,5,8,4,3,8,13,9,8,4,1,7,1,1,5
22,23,oral,F,6,14,12,10,11,9,9,7,4,10,15,11,14,13,10,13,8,7,12,13,7,12,7,8,14,6,5,9,13,14,13,14,10,14,9,7,10
23,24,oral,F,7,15,15,11,9,7,4,2,3,6,15,15,14,15,12,14,6,7,14,15,15,15,13,12,11,6,9,13,15,11,11,11,10,5,5,3,5
24,45,oral,M,7,12,10,7,6,7,6,4,2,5,12,12,15,11,12,14,10,9,15,13,10,13,11,10,15,7,8,14,14,12,14,9,11,14,8,9,13
25,25,oral,M,7,14,13,14,13,13,13,8,5,9,15,15,14,12,10,11,7,5,9,15,14,15,14,12,12,9,5,10,14,14,14,13,12,11,11,10,12
26,21,oral,F,6,15,12,11,8,8,9,1,3,5,14,14,14,12,10,10,6,9,10,15,15,13,13,9,11,6,6,12,15,14,13,11,9,11,9,6,12
27,21,oral,M,6,11,6,7,6,4,6,5,2,10,10,7,10,8,8,9,6,5,10,14,12,13,9,9,14,8,3,11,12,8,11,5,5,9,5,5,12
28,21,oral,F,6,13,11,9,6,5,5,0,2,4,8,7,12,5,6,15,4,5,13,10,10,14,4,5,12,5,5,9,10,7,9,5,6,10,7,3,11
29,22,oral,F,6,11,8,11,6,5,6,2,3,5,8,8,8,5,6,6,2,2,6,13,12,13,9,9,11,6,5,8,8,7,9,7,9,10,6,7,9
