ID,Ppt,Age,Modality,Gender,DigitSpan,Position,Correct,ACC,Condition,Triplet,DigitSpan_c,Ultimate,Pos_c,Pos_c2
oral_1,1,21,oral,M,8,1,15,1,Intonation A,1,1.4102564102564106,not,-4,16
oral_1,1,21,oral,M,8,2,15,1,Intonation A,2,1.4102564102564106,not,-3,9
oral_1,1,21,oral,M,8,3,15,1,Intonation A,3,1.4102564102564106,ultimate,-2,4
oral_1,1,21,oral,M,8,4,11,0.7333333333333333,Intonation A,1,1.4102564102564106,not,-1,1
oral_1,1,21,oral,M,8,5,15,1,Intonation A,2,1.4102564102564106,not,0,0
oral_1,1,21,oral,M,8,6,15,1,Intonation A,3,1.4102564102564106,ultimate,1,1
oral_1,1,21,oral,M,8,7,10,0.6666666666666666,Intonation A,1,1.4102564102564106,not,2,4
oral_1,1,21,oral,M,8,8,12,0.8,Intonation A,2,1.4102564102564106,not,3,9
oral_1,1,21,oral,M,8,9,15,1,Intonation A,3,1.4102564102564106,not,4,16
oral_1,1,21,oral,M,8,1,14,0.9333333333333333,Intonation B,1,1.4102564102564106,not,-4,16
oral_1,1,21,oral,M,8,2,15,1,Intonation B,2,1.4102564102564106,not,-3,9
oral_1,1,21,oral,M,8,3,15,1,Intonation B,3,1.4102564102564106,ultimate,-2,4
oral_1,1,21,oral,M,8,4,11,0.7333333333333333,Intonation B,1,1.4102564102564106,not,-1,1
oral_1,1,21,oral,M,8,5,14,0.9333333333333333,Intonation B,2,1.4102564102564106,not,0,0
oral_1,1,21,oral,M,8,6,15,1,Intonation B,3,1.4102564102564106,ultimate,1,1
oral_1,1,21,oral,M,8,7,12,0.8,Intonation B,1,1.4102564102564106,not,2,4
oral_1,1,21,oral,M,8,8,10,0.6666666666666666,Intonation B,2,1.4102564102564106,not,3,9
oral_1,1,21,oral,M,8,9,15,1,Intonation B,3,1.4102564102564106,not,4,16
oral_1,1,21,oral,M,8,1,14,0.9333333333333333,Control,1,1.4102564102564106,not,-4,16
oral_1,1,21,oral,M,8,2,14,0.9333333333333333,Control,2,1.4102564102564106,not,-3,9
oral_1,1,21,oral,M,8,3,15,1,Control,3,1.4102564102564106,ultimate,-2,4
oral_1,1,21,oral,M,8,4,12,0.8,Control,1,1.4102564102564106,not,-1,1
oral_1,1,21,oral,M,8,5,13,0.8666666666666667,Control,2,1.4102564102564106,not,0,0
oral_1,1,21,oral,M,8,6,12,0.8,Control,3,1.4102564102564106,ultimate,1,1
oral_1,1,21,oral,M,8,7,6,0.4,Control,1,1.4102564102564106,not,2,4
oral_1,1,21,oral,M,8,8,8,0.5333333333333333,Control,2,1.4102564102564106,not,3,9
oral_1,1,21,oral,M,8,9,13,0.8666666666666667,Control,3,1.4102564102564106,not,4,16
oral_1,1,21,oral,M,8,1,14,0.9333333333333333,Pause,1,1.4102564102564106,not,-4,16
oral_1,1,21,oral,M,8,2,14,0.9333333333333333,Pause,2,1.4102564102564106,not,-3,9
oral_1,1,21,oral,M,8,3,14,0.9333333333333333,Pause,3,1.4102564102564106,ultimate,-2,4
